Textual data for sarcasm detection,Your Predicted label
passengers praying uber just a hobby for elderly driver,0.0
the top 10 workout songs for january 2018,0.0
meryl streep looks exactly like the 'shrek' fairy godmother at the oscars,0.0
couple just wants small ceremony in public park with close friends and shirtless stranger hanging around tree,0.0
terrified fda warns something making bananas black after several days,0.0
aspen ideas festival 2015,0.0
"this labor day, let's boost opportunity in every zip code",0.0
taking your startup public is fraught with negatives,0.0
al franken will leave senate in early january,0.0
donald trump vows to take travel ban to the supreme court,0.0
"hackers target russian olympic whistleblower, world anti-doping agency says",0.0
"underserved kids learn a year's worth of math in 6 weeks, thanks to new app",0.0
'stranger pugs' is the greatest thing to happen to the internet,0.0
morgan freeman's snapchat fail is hilariously perfect,0.0
social media etiquette for weddings,0.0
princess charlotte has maybe the most fashionable christening ever,0.0
teddy bear feels terrible for sparking 'what are we?' conversation,0.0
man flirting with girl at party can't wait to be informed she has boyfriend,0.0
mysterious man in parking lot threatens to harm rudy giuliani if he ever blabs about trump's legal payments again,0.0
obama under fire for playing t-ball during vietnam,0.0
this unorthodox guided meditation might just get you in the habit,0.0
women reveal the real purpose of workout clothes,0.0
hope solo says ex-fifa president sepp blatter groped her,0.0
study: good porn still hard to find,0.0
lester holt begins debate by reiterating he doesn't know who these fucking people are,0.0
homosexual dolphin has highly developed sense of gay-nar,0.0
"children are in need of families, and you may be the perfect fit",0.0
"vladimir putin, florida man, arrested for trespassing at supermarket",0.0
report: mom sending you something,0.0
ben affleck vs. bill maher: no one wins,0.0
600-pound butter cow sculpture wins iowa caucus,0.0
"area juggler juggles family, juggling",0.0
this d.c. restaurant just sued trump and his hotel for unfair competition,0.0
kevin bacon will come after you if you talk or text during a movie,0.0
baby can already tell crib he's in going to be recalled,0.0
the best live-action 'south park' commercials,0.0
desperate gop spotted in south dakota trying to build keystone pipeline themselves,0.0
death of mentally ill woman in police custody ruled a homicide,0.0
"astronaut tim peake completes london marathon in space, sets world record",0.0
woman comforting friend just going to throw compliments against wall and see what sticks,0.0
u.s. mint introduces new double-stuf quarters,0.0
"report: whoa, last person on treadmill ran 8 miles",0.0
jeb bush calls for crackdown on sanctuary cities in immigration plan,0.0
my link to muhammad  ali through parkinson's,0.0
dhs announces racial profiling free-for-all this sept. 11,0.0
paramedics didn't realize how hard it would be to cut drunk woman out of elmo costume,0.0
rnc taps dennis hastert to lead new youth outreach program,0.0
money spent for old time's sake,0.0
top aide denies that donald trump posed as his own spokesman,0.0
images show that saturn's north polar region has changed color,0.0
anderson cooper throws another box of letters from gay children into dumpster,0.0
"the equifax breach is bad, but there are steps that can help",0.0
toddler unsettled by whatever possessed her to bite friend's face,0.0
kurt warner cheered on by wire-haired man-goblin,0.0
fox news viewers really don't like lifelong republican robert mueller,0.0
man runs into ex-wife while wearing sandwich board,0.0
patriot devin mccourty is not visiting the white house: 'i don't feel accepted',0.0
how many glasses of wine does it take to ruin your diet?,0.0
"hey, remember when bernie sanders played a rabbi in a rom-com?",0.0
"j.lo and a-rod will each donate $25,000 to hurricane harvey victims",0.0
does strange death curse haunt cast of gone with the wind?,0.0
hillary clinton relaxing before debate with few hours of debate practice,0.0
bartender accused of plotting to poison john boehner,0.0
earth ranked number one party planet,0.0
new ad preys on people with 'ideas',0.0
chris rock calls out the oscars lack of diversity in perfect tweet,0.0
someone made a trump-putin facebook friend anniversary video,0.0
here's the new sexy carl's jr. super bowl commercial,0.0
first latino arab-american running for congress views his heritage as an asset,0.0
mom uses full name to refer to bisquick impossibly easy cheeseburger pieÂ™,0.0
monocle-wearing oil baron's cigarette holder splinters in clenched teeth after hearing bernie sanders' environmental platform,0.0
merkel calls for a more open world: 'we won't get anywhere' with populism,0.0
"public outraged as price of fast-depleting, non-renewable resource skyrockets",0.0
new downloadable content for 'assassin's creed syndicate' factored into monthly living expenses,0.0
largemouth bass has largemouth sass!,0.0
"pope john paul ii, longtime owner of popemobile, dead at 84",0.0
global-warming crisis makes for delightful mid-february afternoon,0.0
'a day with hiv' campaign tells the powerful stories of those affected by hiv,0.0
watch: pearl jam randomly break out into 'let it go' in italy,0.0
"grandchild, grandfather equally dreading collaboration for school interview project",0.0
is your outdated career map leading you astray?,0.0
bartender hurt by unfinished drink,0.0
'the big dark': series of storms stretching from china to u.s. batters northwest,0.0
lebanon's ex-pm says he will return amid claims he was being held captive by saudis,0.0
signs make upcoming section of road sound pretty badass,0.0
"audio experts confirm whiny, irritating noises in secret recording devin nunes",0.0
uneventful past finally catches up to boring man,0.0
"sources: c'mon, just give us the goddamn pulitzer already",0.0
"greek bailout talks delayed once again, official says",0.0
if area dad steps on legos one more time,0.0
this teacher remixes rap songs like 'bad and boujee' to teach history lessons,0.0
here's how much betsy devos and her family spent to back the gop senators who confirmed her,0.0
stage door: wiesenthal,0.0
the painful price of aging in prison,0.0
gwen stefani bares her soul performing 'i used to love you' at the amas,0.0
scott pruitt lands a second fawning conservative magazine profile,0.0
death to shoppers? al-shabaab and the fracturing of international jihadism,0.0
boss came to work today dressed as guy who fires sean,0.0
"dirty, bearded vince foster bursts through doors of clinton fundraiser",0.0
surrendering trump boys solemnly salute each other before leaping from white house first-story window,0.0
colin kaepernick calls high school team's die-in protest courageous,0.0
las vegas officials create gofundme page for shooting victims,0.0
report: 55% of nation's granite now engraved with names of victims,0.0
hollywood announces plan to remake jimmy stewart,0.0
getting married to a guy with kids is 'pretty freaking intimidating',0.0
mother ferries 4 more shirt options back to son in gap dressing room,0.0
fda approves nasal-spray version of overdose drug naloxone,0.0
negative review of 'a wrinkle in time' peppered with critic assuring readers he still totally supports diversity,0.0
russell simmons leads 'i am a muslim too' rally in new york,0.0
"norman lear, common, shonda rhimes to explore inequality in epix documentary series",0.0
kanye west: 'i would've ridden away from a slave plantation on a motorcycle first chance i got',0.0
the daily szep- gop circus,0.0
"the ultimate livingston, montana, road trip playlist",0.0
if i have gay children: 4 promises from a christian pastor/parent,0.0
clinton assures tim kaine she'll continue serving as president in event of her death,0.0
rugged new sport-utility vehicle takes on mall parking lot,0.0
report: new 'the handmaid's tale' season focuses on dangers of feminism run amok,0.0
who's law is it anyways?,0.0
teen football recruit makes bold statement about black lives at training camp,0.0
chris hemsworth's wife elsa pataky posts sweet photo to celebrate his birthday,0.0
questions linger for candidates on retirement issues,0.0
olympics officials clearly trying to buy more time with 6-day-long opening ceremony performance,0.0
first-grader reeks of urine,0.0
